frecuencia_hz,y11_real_s,y11_imag_s,y11_mod_s,y11_fase_deg,y12_real_s,y12_imag_s,y12_mod_s,y12_fase_deg,y21_real_s,y21_imag_s,y21_mod_s,y21_fase_deg,y22_real_s,y22_imag_s,y22_mod_s,y22_fase_deg
24.5470892,1.52655666e-16,3.90778488e-09,3.907784880000002e-09,89.99999776176898,-1.33900255e-16,-3.36795128e-09,3.367951280000002e-09,-90.00000227791878,-0.741398573,2.61079674e-08,0.7413985730000004,179.99999798235876,0.74142482,-2.09447238e-08,0.7414248200000003,-1.618565017566053e-06
25.1188643,1.80411242e-16,3.99880889e-09,3.998808890000004e-09,89.99999741502958,-1.4021078e-16,-3.44640094e-09,3.4464009400000025e-09,-90.00000233097833,-0.741398573,2.67161001e-08,0.7413985730000004,179.99999793536185,0.74142482,-2.14325891e-08,0.7414248200000003,-1.656266240814667e-06
25.7039578,1.80411242e-16,4.09195311e-09,4.0919531100000034e-09,89.99999747387068,-1.4681871e-16,-3.52667793e-09,3.5266779300000035e-09,-90.00000238527379,-0.741398573,2.7338398e-08,0.7413985730000004,179.99999788727024,0.74142482,-2.19318183e-08,0.7414248200000003,-1.6948456427959664e-06
26.3026799,1.80411242e-16,4.18726694e-09,4.187266940000003e-09,89.9999975313724,-1.53738063e-16,-3.60882482e-09,3.6088248200000032e-09,-90.00000244083395,-0.741398573,2.79751911e-08,0.7413985730000004,179.99999783805845,0.74142482,-2.24426759e-08,0.7414248200000003,-1.734323663523924e-06
26.915348,1.80411242e-16,4.28480092e-09,4.284800920000004e-09,89.99999758756523,-1.60983515e-16,-3.69288514e-09,3.6928851400000032e-09,-90.0000024976883,-0.741398573,2.8626817e-08,0.7413985730000004,179.99999778770035,0.74142482,-2.2965433e-08,0.7414248200000003,-1.7747212530468892e-06
27.542287,1.94289029e-16,4.38460676e-09,4.384606760000004e-09,89.9999974611312,-1.68570434e-16,-3.77890349e-09,3.778903490000004e-09,-90.00000255586693,-0.741398573,2.92936212e-08,0.7413985730000004,179.9999977361693,0.74142482,-2.35003667e-08,0.7414248200000003,-1.8160598250808244e-06
28.1838293,2.08166817e-16,4.48673737e-09,4.486737370000005e-09,89.9999973417031,-1.76514914e-16,-3.86692546e-09,3.866925460000003e-09,-90.00000261540072,-0.741398573,2.99759573e-08,0.7413985730000004,179.9999976834379,0.74142482,-2.40477605e-08,0.7414248200000003,-1.8583612879204797e-06
28.840315,2.08166817e-16,4.59124691e-09,4.5912469100000045e-09,89.99999740221332,-1.84833805e-16,-3.95699772e-09,3.956997720000004e-09,-90.00000267632122,-0.741398573,3.06741871e-08,0.7413985730000007,179.99999762947823,0.74142482,-2.46079048e-08,0.7414248200000003,-1.901648083078362e-06
29.5120923,2.22044605e-16,4.69819078e-09,4.698190780000005e-09,89.99999729210258,-1.93544754e-16,-4.04916804e-09,4.0491680400000045e-09,-90.00000273866074,-0.741398573,3.13886807e-08,0.7413985730000007,179.99999757426167,0.74142482,-2.51810966e-08,0.7414248200000003,-1.945943162101353e-06
30.1995172,2.49800181e-16,4.80762571e-09,4.807625710000007e-09,89.99999702295958,-2.02666237e-16,-4.14348528e-09,4.143485280000005e-09,-90.00000280245236,-0.741398573,3.2119817e-08,0.7413985730000007,179.99999751775897,0.74142482,-2.57676397e-08,0.7414248200000003,-1.9912700020262963e-06
30.9029543,2.49800181e-16,4.91960969e-09,4.919609690000007e-09,89.99999709072529,-2.12217603e-16,-4.23999945e-09,4.239999450000005e-09,-90.00000286772985,-0.741398573,3.28679836e-08,0.7413985730000007,179.99999745994018,0.74142482,-2.63678451e-08,0.7414248200000004,-2.0376526362911715e-06
31.6227766,2.49800181e-16,5.03420213e-09,5.034202130000006e-09,89.99999715694847,-2.2221911e-16,-4.33876173e-09,4.3387617300000054e-09,-90.00000293452784,-0.741398573,3.36335773e-08,0.7413985730000007,179.99999740077456,0.74142482,-2.69820311e-08,0.7414248200000004,-2.085115662462891e-06
32.3593657,2.63677968e-16,5.15146376e-09,5.151463760000006e-09,89.99999706731224,-2.32691974e-16,-4.43982447e-09,4.439824470000006e-09,-90.00000300288178,-0.741398573,3.4417004e-08,0.7413985730000008,179.9999973402308,0.74142482,-2.76105233e-08,0.7414248200000004,-2.133684242237293e-06
